cap-color,odor,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,ring-type,population,habitat,label
brown,other,smooth,smooth,white,white,pendant,several,grass,poisonous
other,other,smooth,smooth,white,white,pendant,several,wood,poisonous
gray,foul,other,other,white,white,pendant,other,grass,edible
brown,none,other,other,white,white,evanescent,other,grass,edible
other,foul,silky,silky,other,other,other,other,grass,poisonous
gray,none,smooth,smooth,white,pink,pendant,several,wood,edible
brown,none,smooth,smooth,other,pink,pendant,several,wood,edible
other,other,smooth,smooth,white,white,pendant,other,grass,edible
brown,foul,smooth,smooth,pink,pink,evanescent,several,other,poisonous
other,foul,silky,silky,other,pink,other,other,wood,poisonous
gray,foul,silky,silky,other,pink,other,other,wood,edible
other,foul,silky,silky,pink,other,other,other,wood,poisonous
brown,none,smooth,smooth,white,white,pendant,several,wood,edible
other,other,smooth,smooth,white,white,pendant,other,grass,edible
other,other,smooth,smooth,white,white,pendant,other,other,poisonous
gray,foul,silky,silky,other,other,other,other,wood,poisonous
gray,foul,silky,silky,other,other,other,several,grass,poisonous
brown,none,smooth,smooth,other,other,pendant,other,other,edible
gray,none,smooth,smooth,other,pink,pendant,other,wood,poisonous
other,other,silky,silky,white,pink,evanescent,several,wood,poisonous
brown,other,smooth,other,white,white,pendant,other,other,edible
other,foul,silky,silky,other,other,other,several,other,edible
gray,none,other,other,white,white,evanescent,other,grass,edible
brown,foul,smooth,smooth,white,pink,evanescent,several,wood,poisonous
other,none,smooth,smooth,other,white,pendant,other,wood,poisonous
other,none,smooth,smooth,white,other,evanescent,other,other,edible
gray,none,silky,silky,white,white,pendant,other,grass,poisonous
brown,none,smooth,smooth,pink,other,pendant,several,wood,edible
brown,none,smooth,smooth,other,other,pendant,other,other,edible
brown,foul,silky,silky,pink,pink,evanescent,several,wood,poisonous
brown,other,silky,silky,white,pink,evanescent,several,wood,poisonous
other,other,smooth,smooth,white,white,pendant,other,grass,edible
other,other,smooth,smooth,white,white,pendant,other,wood,poisonous
brown,foul,smooth,smooth,pink,pink,evanescent,several,other,poisonous
